id;model_name;model_number;instruction;verified
1;orchestrate;navigating Riel;Thailand parsing infomediaries;false
2;Bedfordshire;Facilitator;Home Walks;true
3;quantifying;Persevering;and Configuration Keyboard;false
4;whiteboard Optimization Gorgeous;Common;system Hawaii;false
5;optical Balanced;optical red;transitional Concrete;true
6;Money teal microchip;website Forward Island;Ergonomic paradigms;false
7;transmit killer olive;Sleek;Kyat Dollar Unbranded;false
8;Games;yellow contingency;Colorado;false
9;Minnesota;auxiliary;Optimization;true
10;Aruban Program;Berkshire functionalities reboot;Marketing maroon Liaison;false
