id;park_name;park_address;longtitude;latitude;verified
1;Executive Wooden Handmade;Chips Mandatory Central;14587;34119;false
2;Interactions;Wyoming real-time Vermont;16570;94479;true
3;Health Fantastic Pizza;Account Tuna;77314;91218;true
4;leverage Bedfordshire harness;extranet Nebraska Tools;58877;62243;false
5;Quality exploit Fantastic;Locks;54302;68274;true
6;Dakota Antillian Home;Fresh policy;21574;96741;true
7;Avon payment HDD;Multi-tiered;474;52586;false
8;Lari Analyst Bhutan;Louisiana;93001;95637;true
9;Square;Brand;71429;34271;false
10;Shoes array;installation Borders Associate;4279;7453;false
